dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,40.267714977264404,0.4288389416561878,0.42967131428347916,0.0024235647187076646,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,10,adam,-0.4264879371262656,0.85
dataset_name,RF,LCB,1,9.16267991065979,0.40709856384369836,0.40687468174115055,0.0030847338880640104,tanh,0.7055276827236003,combined,prodLDA,184,4,200,14,10,adam,-0.4807615401936448,0.93
dataset_name,RF,LCB,2,7.631093978881836,0.4171639651770705,0.409777959313213,0.01061176479343397,sigmoid,0.851925889694314,zeroshot,prodLDA,281,1,200,32,10,adam,-0.4638713869064449,0.92
dataset_name,RF,LCB,3,8.376172542572021,0.41571986395008637,0.4157167838497266,0.009198420040500742,tanh,0.4748628384945795,zeroshot,LDA,196,4,50,38,10,adam,-0.4693926219885407,0.96
dataset_name,RF,LCB,4,24.723259210586548,0.49216363606199004,0.48953211491513765,0.024562161446109676,selu,0.6077221243289302,combined,prodLDA,239,1,30,35,10,adam,-0.28099913227784085,0.78
dataset_name,RF,LCB,5,16.122234582901,0.5052421169726956,0.5011586037571214,0.00803041494188811,rrelu,0.3394964805353097,zeroshot,prodLDA,118,4,50,49,10,sgd,-0.30351001702175917,0.92
dataset_name,RF,LCB,6,28.69475555419922,0.517234226189276,0.5169880551150836,0.0019508406673869798,leakyrelu,0.13837713792917153,combined,prodLDA,359,1,300,48,10,sgd,-0.28352682241686017,0.93
dataset_name,RF,LCB,7,29.124991416931152,0.48548819938941895,0.48644372392668783,0.00670639715136064,elu,0.2176093801649332,combined,LDA,345,1,100,41,10,adam,-0.2830622466176881,0.8
dataset_name,RF,LCB,8,10.59329080581665,0.4339570311053875,0.42864193050166516,0.008123017366038437,tanh,0.2487740243018768,zeroshot,prodLDA,103,1,50,49,10,adam,-0.4412415957707433,0.96
dataset_name,RF,LCB,9,24.09715962409973,0.4968076145566087,0.49264176783160124,0.00783441171231471,leakyrelu,0.3525171949351566,combined,LDA,352,3,30,45,10,sgd,-0.32213371132150787,0.93
