dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,138.96426367759705,0.5385244089920458,0.5426267734128921,0.009462550374654412,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,10,2.203020112523004,84,-0.15413265247564734,0.74
dataset_name,RF,LCB,1,639.2078197002411,0.577815357868153,0.5811444957592128,0.014514060604436817,asymmetric,1363,0.6346049595571991,0.45866122638233686,12,10,8.260694351430722,383,-0.11366927905055799,0.85
dataset_name,RF,LCB,2,427.1455554962158,0.5520009111143259,0.5527931431074706,0.01284691808878747,asymmetric,22107,0.5184473180271604,0.5952892196922652,470,10,3.999333450319846,264,-0.19575965536745596,0.88
dataset_name,RF,LCB,3,311.55107855796814,0.5666243718570498,0.553419201515963,0.020834723753222522,asymmetric,1547,0.6402367106598953,0.4521969528050088,462,10,5.173804171499826,214,-0.13814981543920862,0.84
dataset_name,RF,LCB,4,805.9871716499329,0.5811758823338162,0.5711909802018204,0.015111052038929174,symmetric,7993,0.7238805943477356,0.18644728555992077,650,10,9.408265825527765,433,-0.1222327468242321,0.86
dataset_name,RF,LCB,5,881.4092283248901,0.5323024466808,0.5329147905872199,0.003275624412375609,symmetric,15623,0.8754129909913106,0.05438493093852226,632,10,5.997962864246919,428,-0.2057837384795606,0.82
dataset_name,RF,LCB,6,206.3803107738495,0.622229595542471,0.6138433983026643,0.016544294952089183,asymmetric,2644,0.7267344371531312,0.25291020014614635,430,10,9.909233452397517,224,-0.022234040603719103,0.88
dataset_name,RF,LCB,7,90.95982718467712,0.6095877832066311,0.6131927640354368,0.018287514465807227,asymmetric,3784,0.729040646454373,0.34164524418310316,715,10,7.344192946592089,96,-0.07825373908910646,0.9
dataset_name,RF,LCB,8,144.84191298484802,0.5527338017885153,0.5540535498664626,0.014621883751368078,symmetric,3179,0.8091493143315008,0.25573408480328685,709,10,8.190194026808607,153,-0.09538281385965028,0.78
dataset_name,RF,LCB,9,262.56402611732483,0.584972904262069,0.5861001004492155,0.004923729274237118,asymmetric,7542,0.9185935198647224,0.029855021846732416,260,10,8.514098384643058,243,-0.10252953284411204,0.84
