dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,h_max_iter,h_stop_condition,kappa,minimum_probability,num_topics,passes,w_max_iter,w_stop_condition,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,273.04677414894104,0.5855571510096306,0.5765186608007445,0.014326795298492642,4820,85,0.001621462067862438,0.6597236255198837,0.05366684736783671,50,107,167,0.000258599175944627,0.034934770434852096,0.668
dataset_name,RF,LCB,1,934.648313999176,0.5829557012517745,0.5787440658626153,0.0064731051119873186,1360,92,0.009169528088164087,0.8071647705303653,0.08182534973762229,50,443,109,0.00035215736837530164,0.01803829332792212,0.678
dataset_name,RF,LCB,2,442.6927373409271,0.5783982096349556,0.5765152845472891,0.013767384967391156,5273,80,0.009716335654208971,0.6627570227987455,0.05797714744644096,50,224,483,0.0008515426771950209,0.008273633208246393,0.656
dataset_name,RF,LCB,3,655.3772394657135,0.5808870288016275,0.587205760408525,0.011156892301187868,5156,21,0.002346454071148054,0.885738137367893,0.08306547005797021,50,335,249,0.00031851495066278677,0.025392330426627883,0.674
dataset_name,RF,LCB,4,407.8323903083801,0.5796256601821073,0.5802000459758482,0.0033197653669384234,9225,31,0.007001969630924772,0.8367199355096173,0.09200749448597417,50,178,486,0.0006890760829715061,0.034393230664763734,0.666
dataset_name,RF,LCB,5,1032.9864447116852,0.588371583023361,0.5918044565134396,0.006343479929159511,5629,54,0.007352892880876622,0.8157597011274815,0.05643485976274054,50,447,179,0.0008133842126763416,0.035366886280552,0.684
dataset_name,RF,LCB,6,76.20838165283203,0.5721935935969653,0.5689895968435807,0.007513353597416984,4367,25,0.0032224056913229197,0.5498132452892371,0.07570981302805026,50,30,163,0.00010303116045636897,0.014749248319214156,0.65
dataset_name,RF,LCB,7,671.0180201530457,0.5907374948446175,0.5868565160938622,0.005555649664393014,4721,66,0.004923230368155113,0.6320408164491248,0.04951607410958306,50,364,198,0.0003951899411883388,0.02898738677576282,0.682
dataset_name,RF,LCB,8,729.7728478908539,0.5883270804131197,0.5870164809238739,0.002713146918022955,1016,54,0.003879688859072672,0.6036983259441211,0.0401346518223204,50,469,171,0.00026817894556352444,0.02343414826721797,0.69
dataset_name,RF,LCB,9,649.0894994735718,0.5831785760121265,0.5903091151321126,0.010497514805611712,1568,17,0.00178083450612336,0.6262397837101853,0.0314799749120908,50,463,193,0.00011806433540316398,0.050503736250654664,0.67
